0,1,2,3,4,5
种类,种类,公称直径 d（mm）,屈服强度标准值,条件屈服强度标准值 ,极限强度标准值
中强度预应力钢丝,螺旋肋,5（mm）、7（mm）、9（mm）,,680(N/mm2),800(N/mm2)
中强度预应力钢丝,螺旋肋,5（mm）、7（mm）、9（mm）,,825(N/mm2),970(N/mm2)
中强度预应力钢丝,螺旋肋,5（mm）、7（mm）、9（mm）,,1080(N/mm2),1270(N/mm2)
消除应力钢丝,光面 螺旋肋,5（mm）,,1335(N/mm2),1570(N/mm2)
消除应力钢丝,光面 螺旋肋,5（mm）,,1580(N/mm2),1860(N/mm2)
消除应力钢丝,光面 螺旋肋,7（mm）,,1335(N/mm2),1570(N/mm2)
消除应力钢丝,光面 螺旋肋,9（mm）,,1250(N/mm2),1470(N/mm2)
消除应力钢丝,光面 螺旋肋,9（mm）,,1335(N/mm2),1570(N/mm2)
钢绞线,1X3 （三股）,8.6（mm）、10.8（mm）、 12.9（mm）,,1335(N/mm2),1570(N/mm2)
钢绞线,1X3 （三股）,8.6（mm）、10.8（mm）、 12.9（mm）,,1580(N/mm2),1860(N/mm2)
钢绞线,1X3 （三股）,8.6（mm）、10.8（mm）、 12.9（mm）,,1665(N/mm2),1960(N/mm2)
钢绞线,1X7 （七股）,9.5（mm）、12.7（mm）、 15.2（mm）、17.8（mm）,,1460(N/mm2),1720(N/mm2)
钢绞线,1X7 （七股）,9.5（mm）、12.7（mm）、 15.2（mm）、17.8（mm）,,1580(N/mm2),1860(N/mm2)
钢绞线,1X7 （七股）,9.5（mm）、12.7（mm）、 15.2（mm）、17.8（mm）,,1665(N/mm2),1960(N/mm2)
钢绞线,1X7 （七股）,21.6（mm）,,1580(N/mm2),1860(N/mm2)
预应力螺纹钢筋,螺纹,18（mm）、25（mm）、32（mm）、 40（mm）、50（mm）,785(N/mm2),,980(N/mm2)
预应力螺纹钢筋,螺纹,18（mm）、25（mm）、32（mm）、 40（mm）、50（mm）,830(N/mm2),,1030(N/mm2)
预应力螺纹钢筋,螺纹,18（mm）、25（mm）、32（mm）、 40（mm）、50（mm）,930(N/mm2),,1080(N/mm2)
预应力螺纹钢筋,螺纹,18（mm）、25（mm）、32（mm）、 40（mm）、50（mm）,1080(N/mm2),,1230(N/mm2)
预应力螺纹钢筋,螺纹,18（mm）、25（mm）、32（mm）、 40（mm）、50（mm）,1200(N/mm2),,1330(N/mm2)
