0,1,2,3
种类,极限强度标准值fptk,抗拉强度设计值fpy,抗压强度设计值fpyc
中强度预应力钢丝,800（N/mm2）,560（N/mm2）,400（N/mm2）
中强度预应力钢丝,970（N/mm2）,680（N/mm2）,400（N/mm2）
中强度预应力钢丝,1270（N/mm2）,900（N/mm2）,400（N/mm2）
消除应力钢丝,1470（N/mm2）,1040（N/mm2）,410（N/mm2）
消除应力钢丝,1570（N/mm2）,1110（N/mm2）,410（N/mm2）
消除应力钢丝,1860（N/mm2）,1320（N/mm2）,410（N/mm2）
钢绞线,1570（N/mm2）,1110（N/mm2）,390（N/mm2）
钢绞线,1720（N/mm2）,1220（N/mm2）,390（N/mm2）
钢绞线,1860（N/mm2）,1320（N/mm2）,390（N/mm2）
钢绞线,1960（N/mm2）,1390（N/mm2）,390（N/mm2）
预应力螺纹钢筋,980（N/mm2）,650（N/mm2）,400（N/mm2）
预应力螺纹钢筋,1030（N/mm2）,690（N/mm2）,400（N/mm2）
预应力螺纹钢筋,1080（N/mm2）,770（N/mm2）,400（N/mm2）
预应力螺纹钢筋,1230（N/mm2）,900（N/mm2）,400（N/mm2）
预应力螺纹钢筋,1330（N/mm2）,1000（N/mm2）,400（N/mm2）
